account_no,location_name,business_entity,postcode,address_line_1,address_line_2,town_city,logged_by
A5001442,BARTON UPON HUMBER DO,2713.100.,DN18 5RP,2B HARRIER ROAD,,BARTON UPON HUMBER,Admin
A5001475,ILKLEY DO,2715.100.,LS29 8SS,"COW PASTURE ROAD,",,ILKLEY,Admin
A5001481,MORLEY DO,2716.100.,LS27 8TB,"129A QUEEN STREET,",,LEEDS,Admin
A5001482,PUDSEY DO,2718.100.,LS28 7LB,"37 CHURCH LANE,",,PUDSEY,Admin
A5001473,BRAMLEY DO,2719.100.,LS13 2UB,WATERLOO WAY,,LEEDS,Admin
A500152,DORSET MC,272.100.,BH17 0AA,WITNEY ROAD,,POOLE,Admin
A5001474,HOLBECK DO,2720.100.,LS11 9ND,NEW PRINCESS STREET,,LEEDS,Admin
A5001476,IRELAND WOOD DO,2722.100.,LS16 6NT,"IVESON APPROACH,",,LEEDS,Admin
A5001480,MOORTOWN DO,2723.100.,LS17 7HN,2 NURSERY LANE,,LEEDS,Admin
A5001485,TONG ROAD DO,2724.100.,LS12 4JG,"UPPER WORTLEY ROAD,",,LEEDS,Admin
A5001486,WETHERBY DO,2728.100.,LS22 6UT,42 NORTH STREET,,WETHERBY,Admin
A5001470,RIPON DO,2731.100.,HG4 1AA,1 FINKLE STREET,,RIPON,Admin
A5001484,SHERBURN DO,2734.100.,LS25 6ES,9 MOOR LANE TRADING ESTATE,,LEEDS,Admin
A5001468,HARROGATE DO,2735.100.,HG1 4EE,3 CLARO COURT,,HARROGATE,Admin
A5001469,HARROGATE RTW,2735.101.,HG1 4EE,3 CLARO COURT,,HARROGATE,Admin
A5001483,SEACROFT DO,2736.100.,LS14 2SD,"COAL ROAD,",,LEEDS,Admin
A5001472,AIREBOROUGH DO,2738.100.,LS19 7LX,WESTFIELD MILLS,,LEEDS,Admin
A5001228,BOURNEMOUTH DO,274.100.,BH1 1AA,WELLINGTON ROAD,,BOURNEMOUTH,Admin
A5001439,PONTEFRACT DO,2743.100.,WF8 1AA,"2 TRINITY STREET, PONTEFRACT",,,Admin
A5001440,WAKEFIELD DO,2744.100.,WF1 1AA,"2 DENBY DALE ROAD, WAKEFIELD",,,Admin
A500115,LEEDS MC,2747.100.,LS10 1AZ,LEODIS WAY,,LEEDS,Admin
A5001441,WHITWOOD DO,2749.100.,,,,,Admin
A500135,YORKSHIRE PH,2751.100.,WF6 2XX,SILKSTONE HOUSE,EXPRESS WAY,NORMANTON,Admin
A500161,MORPETH DO,2752.100.,NE61 1AA,18-22 OLDGATE,,MORPETH,Admin
A5001165,BERWICK UPON TWEED DO,2754.100.,TD15 1AA,23-33 WOOLMARKET,,BERWICK UPON TWEED,Admin
A500155,ASHINGTON DO,2755.100.,NE63 0LA,4 ARMSTRONG WAY,,ASHINGTON,Admin
A500154,ALNWICK DO,2756.100.,NE66 2DD,GREENSFIELD ESTATE,,ALNWICK,Admin
A500159,HEATON DO,2757.100.,NE6 1AA,HEATON ROAD,,NEWCASTLE UPON TYNE,Admin
A500163,NEWCASTLE WEST DO,2759.100.,NE5 2AA,SLATYFORD LANE,,NEWCASTLE UPON TYNE,Admin
A500156,CRAMLINGTON DO,2768.100.,NE23 1DJ,CROWHALL LANE,,CRAMLINGTON,Admin
A500162,NEWCASTLE UPON TYNE CITY DO,2769.100.,NE1 1AD,FORTH STREET,,NEWCASTLE UPON TYNE,Admin
A500164,PRUDHOE DO,2770.100.,NE42 6QG,7C-7D EARLS COURT,,PRUDHOE,Admin
A5001539,DERWENTSIDE DO,2771.100.,DH8 7RU,LEADGATE INDUSTRIAL ESTATE,,CONSETT,Admin
A500138,TYNESIDE MC,2772.100.,NE11 0YY,LINDISFARNE HOUSE EARLSWAY,,GATESHEAD,Admin
A500139,TYNESIDE RTW,2772.101.,NE11 0YY,LINDISFARNE HOUSE EARLSWAY,,GATESHEAD,Admin
A5001543,SUNDERLAND DO,2776.100.,SR5 2TG,9 AND 10 WEARFIELD,,SUNDERLAND,Admin
A5001487,SHEFFIELD CITY DO/OFF/RET,2779.100.,S1 1AA,POND STREET,,SHEFFIELD,Admin
A500104,SHEFFIELD NORTH EAST DO,2781.100.,S5 0QH,836 BARNSLEY ROAD,,SHEFFIELD,Admin
A5001488,SHEFFIELD SOUTH EAST DO,2784.100.,S12 2AF,PIT LANE,,SHEFFIELD,Admin
A5001502,WORKSOP DO,2789.100.,S80 1AA,RYTON STREET,,WORKSOP,Admin
A5001498,ROTHERHAM DO,2790.100.,S60 1AA,MAIN STREET,,ROTHERHAM,Admin
A5001494,BOLSOVER DO,2791.100.,S44 6PD,HIGH STREET,,CHESTERFIELD,Admin
A5001500,BARNSLEY DO,2793.100.,S70 1AA,PITT STREET,,BARNSLEY,Admin
A5001489,HALFWAY DO,2795.100.,S20 3AA,UNIT B HOLBROOK GREEN,,SHEFFIELD,Admin
A5001491,STOCKSBRIDGE DO,2796.100.,S36 1AA,43 VICTORIA STREET,,SHEFFIELD,Admin
A5001490,DINNINGTON DO,2797.100.,S25 4AA,HOUGHTON ROAD,,SHEFFIELD,Admin
A500101,SHEFFIELD MC,2798.100.,S9 2XX,BRIGHTSIDE LANE,,SHEFFIELD,Admin
A5001503,SHEFFIELD RTW,2798.101.,S9 2XX,BRIGHTSIDE LANE,,SHEFFIELD,Admin
A5001493,STAVELEY DO,2799.100.,S43 3YL,DEEPDALE CLOSE,,CHESTERFIELD,Admin
A5001497,SHEFFIELD NORTH DO,2800.100.,S6 2NT,CAPEL STREET,,SHEFFIELD,Admin
A5001434,HULL MALMO ROAD DO,2808.100.,HU7 0AA,MALMO ROAD,,HULL,Admin
A5001433,HULL CENTRAL DO,2809.100.,HU9 1AA,ST PETER STREET,,HULL,Admin
A5001510,SCARBOROUGH DO,2810.100.,YO11 1AA,11-15 ABERDEEN WALK,,SCARBOROUGH,Admin
A5001506,BRIDLINGTON DO,2811.100.,YO15 2AA,15-17 QUAY ROAD,,BRIDLINGTON,Admin
A5001508,MALTON DO,2813.100.,YO17 7HS,36-38 WHEELGATE,,MALTON,Admin
A5001514,WHITBY DO,2814.100.,YO21 3ED,26 CRESCENT AVENUE,,WHITBY,Admin
A5001511,SCARBOROUGH RTW,2815.100.,YO12 7PN,WREA LANE,,SCARBOROUGH,Admin
A5001509,PICKERING DO,2816.100.,YO18 7AG,THORNTON ROAD IND ESTATE,,PICKERING,Admin
A5001515,YORK CENTRAL DO,2817.100.,YO26 4ZZ,4 LEEMAN ROAD,,YORK,Admin
A5001512,SELBY DO,2819.100.,YO8 4EH,MICKLEGATE,,SELBY,Admin
A5001435,HULL RTW,2822.100.,HU7 0YF,MALMO ROAD,,HULL,Admin
A5001505,BIRCH PARK DO,2823.100.,YO31 9XX,HUNTINGTON ROAD,,YORK,Admin
A5001513,THIRSK DO,2824.100.,YO7 3XX,THIRSK INDUSTRIAL PARK,,THIRSK,Admin
A5001507,DRIFFIELD DO,2825.100.,YO25 9GG,WADSWORTH ROAD,,DRIFFIELD,Admin
A5001436,SAXON WAY DO,2826.100.,HU13 9TA,SAXON WAY,,,Admin
A5001432,BEVERLEY DO,2827.100.,HU17 0WA,ANNIE REED ROAD,,BEVERLEY,Admin
A5001463,GRIMSBY DO,2834.100.,DN31 3AR,FOTHERBY STREET,,GRIMSBY,Admin
A500158,GOSFORTH DO,2837.100.,NE3 3UA,JUBILEE ROAD,,NEWCASTLE UPON TYNE,Admin
A5001438,CALDERWAY DO,2838.100.,WF13 1FF,CANNON WAY,,,Admin
A5001410,FRASERBURGH DO,2848.100.,AB43 9AA,"24 COMMERCE STREET,",,FRASERBURGH,Admin
A5001411,FRASERBURGH RTW,2848.101.,AB43 9AQ,"24 COMMERCE STREET,",,FRASERBURGH,Admin
A5001407,BANFF DO,2849.100.,AB45 1AA,10 CARMELITE STREET,,BANFF,Admin
A5001408,BUCKIE DO,2850.100.,AB56 1BA,46 EAST CHURCH STREET,,BUCKIE,Admin
A5001412,HUNTLY DO,2851.100.,AB54 8AA,"15 THE SQUARE,",,HUNTLY,Admin
A5001111,TURRIFF DO,2852.100.,AB53 4EA,24 HIGH STREET,,TURRIFF,Admin
A5001414,KITTYBREWSTER DO,2853.100.,AB25 3BB,"ASHGROVE ROAD,",,ABERDEEN,Admin
A5001103,ELGIN DO,2854.100.,IV30 1AA,250 HIGH STREET,,ELGIN,Admin
A5001104,ELGIN RTW,2854.101.,IV30 1BA,244 HIGH STREET,,ELGIN,Admin
A5001181,LERWICK DO,2858.100.,ZE1 0AA,46-50 COMMERCIAL STREET,,SHETLAND,Admin
A5001117,PETERHEAD DO,2861.100.,AB42 1AA,KIRK STREET,,PETERHEAD,Admin
A5001105,FORRES DO,2862.100.,IV36 1ZZ,BOGTON PLACE,,FORRES,Admin
A5001409,ELLON DO,2863.100.,AB41 9JJ,"HOSPITAL ROAD,",,ELLON,Admin
A5001413,KEITH DO,2865.100.,AB55 5AA,"132 MID STREET,",,KEITH,Admin
A5001416,MASTRICK DO,2866.100.,AB16 6WW,"WHITEMYRES AVENUE,",,ABERDEEN,Admin
A5001112,WESTHILL DO,2869.100.,AB32 6AB,ENTERPRISE DRIVE,,WESTHILL,Admin
A5001406,ABERDEEN MC,2870.100.,AB12 3TT,WELLINGTON CIRCLE,,ABERDEEN,Admin
A5001176,DUMFRIES DO,2875.100.,DG1 1AA,7 GREAT KING STREET,,DUMFRIES,Admin
A5001175,CASTLE DOUGLAS DO,2879.100.,DG7 1LU,100 KING STREET,,CASTLE DOUGLAS,Admin
A5001179,STRANRAER DO,2880.100.,DG9 7SA,26-32 HANOVER STREET,,STRANRAER,Admin
A5001180,STRANRAER RTW,2881.100.,DG9 7EA,ROSE STREET,,STRANRAER,Admin
A5001178,NEWTON STEWART DO,2882.100.,DG8 6ND,STATION INDUSTRIAL ESTATE,,NEWTON STEWART,Admin
A5001177,LANGHOLM GAR,2883.101.,DG13 0JH,HIGH STREET,,LANGHOLM,Admin
A5001174,ANNAN DO,2884.100.,DG12 6TS,STATION ROAD,,ANNAN,Admin
A5001192,EDINBURGH NORTH WEST DO,2888.100.,EH4 1AF,,41 COMELY BANK,EDINBURGH,Admin
A5001630,MANSFIELD DO,289.100.,NG19 9BG,,,,Admin
A5001193,EDINBURGH SOUTH WEST DO,2890.100.,EH10 4AB,4 FALCON ROAD WEST,,EDINBURGH,Admin
A5001189,DALKEITH DO,2891.100.,EH22 1AA,10A ESKBANK ROAD,,DALKEITH,Admin
A5001158,PENICUIK DO,2893.100.,EH26 8AA,46 JOHN STREET,,PENICUIK,Admin
A5001156,HADDINGTON GAR,2898.101.,EH41 3BH,2D HOSPITAL ROAD,,HADDINGTON,Admin
A5001159,TRANENT DO,2900.100.,EH33 1LH,2 CIVIC SQUARE,,TRANENT,Admin
A5001140,ST ANDREWS DO,2912.100.,KY16 8RP,54 LARGO ROAD,,ST. ANDREWS,Admin
A5001157,LIVINGSTON DO,2917.100.,EH54 6TT,FAIRBAIRN ROAD,,LIVINGSTON,Admin
A5001173,SELKIRK DO,2918.100.,TD7 4BP,30 MARKET PLACE,,SELKIRK,Admin
A5001169,GALASHIELS RTW,2920.100.,TD1 1BZ,11-13-15 PARK STREET,,GALASHIELS,Admin
A5001167,DUNS DO,2921.100.,TD11 3AB,37 SOUTH STREET,,DUNS,Admin
A5001170,HAWICK DO,2925.100.,TD9 0BB,ST GEORGES LANE,,HAWICK,Admin
A5001137,GLENROTHES DO,2926.100.,KY7 4NY,UNIT P BAIRD ROAD,,GLENROTHES,Admin
A5001138,GLENROTHES RTW,2926.101.,KY7 4NY,UNIT P BAIRD ROAD,,GLENROTHES,Admin
A5001166,COLDSTREAM DO,2928.100.,TD12 4EQ,GUARDS ROAD,,COLDSTREAM,Admin
A5001139,KIRKCALDY DO,2931.100.,KY2 5ZX,FORTH AVENUE INDUSTRIAL ESTATE,,KIRKCALDY,Admin
A500105,EDINBURGH MC,2938.100.,EH11 4YY,11 CULTINS ROAD,,EDINBURGH,Admin
A5001188,EDINBURGH RTW,2938.101.,EH11 4YY,,11 CULTINS ROAD,EDINBURGH,Admin
A5001168,GALASHIELS DO,2939.100.,TD1 1AA,1 CHANNEL STREET,,GALASHIELS,Admin
A5001171,JEDBURGH DO,2940.100.,TD8 6DG,37 HIGH STREET,,JEDBURGH,Admin
A5001172,MELROSE DO,2941.100.,TD6 9LE,10 BUCCLEUCH STREET,,MELROSE,Admin
A5001153,GLASGOW G41-G42-G45 DO,2947.100.,G42 7JB,86 VICTORIA ROAD,,GLASGOW,Admin
A5001101,GLASGOW G13 & G14 DO,2949.100.,G13 3RJ,28 LINCOLN AVENUE,,GLASGOW,Admin
A5001478,LEEDS LD,295.100.,LS10 1RZ,"UNITS 1-4 SKELTON GRANGE ROAD,",,LEEDS,Admin
A5001479,LEEDS RTW,295.102.,LS10 1RZ,"SKELTON GRANGE ROAD,",,LEEDS,Admin
A5001477,LEEDS BRANCH DIRECT HUB,295.101.,LS10 1RZ,UNITS 1-4 SKELTON GRANGE ROAD,,LEEDS,Admin
A5001134,ROTHESAY DO,2968.100.,PA20 9DQ,10 BISHOP STREET,,ISLE OF BUTE,Admin
A5001129,DUNOON DO,2969.100.,PA23 7NS,93 JOHN STREET,,DUNOON,Admin
A5001133,PAISLEY DO,2971.100.,PA3 1TN,62 UNDERWOOD ROAD,,PAISLEY,Admin
A5001143,DALRY DO,2973.100.,KA24 4AB,3 TOWNEND STREET,,DALRY,Admin
A5001145,IRVINE DO,2979.100.,KA12 8AE,165 HIGH STREET,,IRVINE,Admin
A5001147,SALTCOATS DO,2982.100.,KA21 5EE,CHAPELWELL STREET,,SALTCOATS,Admin
A5001142,AYR DO,2983.100.,KA7 1AA,1 BOSWELL PARK,,AYR,Admin
A5001148,TROON DO,2985.100.,KA10 6AX,12 CHURCH STREET,,TROON,Admin
A5001163,MOTHERWELL DO,2990.100.,ML1 1AA,214-218 MUIR STREET,,MOTHERWELL,Admin
A5001161,COATBRIDGE DO,2995.100.,ML5 3AQ,1 COATBANK WAY,,COATBRIDGE,Admin
A5001131,OBAN DO,2996.100.,PA34 4AA,ALBANY STREET,,OBAN,Admin
A5001132,OBAN RTW,2997.100.,PA34 4LH,SHORE STREET,,OBAN,Admin
A5001149,CUMBERNAULD DO,3003.100.,G67 1AZ,5 SOUTH MUIRHEAD ROAD,,GLASGOW,Admin
A5001144,GIRVAN DO,3005.100.,KA26 9DF,AILSA STREET EAST,,GIRVAN,Admin
A500116,GLASGOW MC,3007.100.,G21 1AA,20 TURNER ROAD,,GLASGOW,Admin
A5001155,GLASGOW RTW,3007.101.,G21 1AZ,20 TURNER ROAD,,GLASGOW,Admin
A5001152,GLASGOW G20 AND G23 DO,3009.100.,G20 9AN,22 LOCHBURN ROAD,,GLASGOW,Admin
A5001160,BELLSHILL DO,3011.100.,ML4 1BB,BOWLING GREEN STREET,,BELLSHILL,Admin
A5001150,GLASGOW G1-5 DO,3012.100.,G4 0AA,BAIRD STREET,,GLASGOW,Admin
A5001130,INVERCLYDE DO,3016.100.,PA15 4RD,10 KNOWE ROAD,,GREENOCK,Admin
A5001162,HAMILTON DO,3018.100.,ML3 6AA,20-24 BRANDON STREET,,HAMILTON,Admin
A5001146,KILMARNOCK DO,303.100.,KA1 3AA,QUEENS DRIVE,,KILMARNOCK,Admin
A5001109,LAIRG RTW,3031.100.,IV27 4DF,DAVIDSON TERRACE,,LAIRG,Admin
A5001183,THURSO DO,3033.100.,KW14 7AL,SINCLAIR STREET,,THURSO,Admin
A5001124,FORT WILLIAM DO,3035.100.,PH33 6AA,5 HIGH STREET,,FORT WILLIAM,Admin
A5001185,STORNOWAY RTW,3039.100.,HS1 2RB,20-22 INACLETE ROAD,,STORNOWAY,Admin
A5001184,SOUTH UIST RTW,3041.100.,HS8 5TH,LOCHBOISDALE,,ISLE OF SOUTH UIST,Admin
A5001110,PORTREE DO/RTW,3042.100.,IV51 9AA,DUNVEGAN ROAD,,PORTREE,Admin
A5001182,STROMNESS DO,3049.100.,KW16 3BP,BACK ROAD,,STROMNESS,Admin
A5001648,ARBROATH DO,3052.100.,DD11 1AA,16 HILL STREET,,ARBROATH,Admin
A5001135,DUNDEE CENTRAL DO,3055.100.,DD1 5ZZ,7 EDWARD STREET,,DUNDEE,Admin
A5001127,PERTH RTW,3057.102.,PH1 1AA,53 FEUS ROAD,,PERTH,Admin
A5001125,PERTH ST,3057.103.,PH1 1AA,53 FEUS ROAD,,PERTH,Admin
A5001128,PITLOCHRY DO,3061.100.,PH16 5AA,PERTH ROAD,,PITLOCHRY,Admin
A5001136,DUNDEE WEST DO,3066.100.,DD2 3UX,43 BAIRD AVENUE,,DUNDEE,Admin
A5001141,FALKIRK DO,3068.100.,FK1 1AA,1 GARRISON PLACE,,FALKIRK,Admin
A5001164,WISHAW DO,3107.100.,ML2 0YY,CANYON ROAD,,WISHAW,Admin
A5001186,SCOTTISH PH/RTW/HUB,3110.100.,ML2 0XX,CANYON ROAD,,WISHAW,Admin
A500174,AVONMOUTH DO,313.100.,BS11 9EY,ST. BRENDANS WAY,,BRISTOL,Admin
A500176,KEYNSHAM DO,315.100.,BS31 2GY,ASHTON WAY,,BRISTOL,Admin
A500183,KINGSWOOD DO,316.100.,BS15 8PN,HANHAM ROAD,,BRISTOL,Admin
A500178,PORTISHEAD DO,318.100.,BS20 6AL,80 HIGH STREET,,BRISTOL,Admin
A500181,WESTON SUPER MARE DO,367.100.,BS23 3PR,WARNE ROAD,,BRISTOL,Admin
A500180,WESTBURY ON TRYM DO,319.100.,BS9 3GG,WESTBURY COURT ROAD,,BRISTOL,Admin
A5001258,FLINT ABER PARK PAR,3202.1.,CH6 5EX,ABER PARK INDUSTRIAL ESTATE,,FLINT,Admin
A5001517,YORK LD,323.100.,YO26 6QS,MILLFIELD LANE,,YORK,Admin
A5001461,DONCASTER RAIL TERMINAL HUB,3236.100.,DN4 8RR,MALLARD WAY,,DONCASTER,Admin
A500109,JUBILEE MC,3260.100.,TW4 5XX,GODFREY WAY,,HOUNSLOW,Admin
A5001622,STOKE OFF         ,3275.100.,ST1 5RY,LAKESIDE,FESTIVAL WAY,STOKE ON TRENT,Admin
A500175,CLIFTON BS DO,328.100.,BS8 1BJ,2 CLIFTON ROAD,,BRISTOL,Admin
A500182,YATE DO,329.100.,BS37 4DG,1 SOUTH PARADE,,BRISTOL,Admin
A500177,NAILSEA DO,331.100.,BS48 1RA,CROWN GLASS PLACE,,BRISTOL,Admin
A500169,BRISTOL HUB,3319.100.,BS37 5YT,1 GOODRICH CLOSE,,BRISTOL,Admin
A5001562,NATIONAL PH,3343.100.,NN6 7DD,DANES WAY,DAVENTRY RAIL FREIGHT TML,NORTHAMPTON,Admin
A5001576,NORTHAMPTON DO,3360.100.,NN5 5JY,"45-47 ST JAMES MILL ROAD,",,NORTHAMPTON,Admin
A500179,THORNBURY DO,337.100.,BS35 3UY,COOPER ROAD,,BRISTOL,Admin
A5001187,EDINBURGH AIR OVERFLOW HUB,3388.100.,EH12 0AL,TRANSIT SHED A,,EDINBURGH,Admin
A500172,BRISTOL SOUTH EAST DO,340.100.,BS4 3DZ,MEAD STREET,,BRISTOL,Admin
A5001362,MINEHEAD GAR,341.101.,TA24 5AA,POST OFFICE LANE,,MINEHEAD,Admin
A5001626,BINGHAM DO,3410.100.,NG13 8AS,,,,Admin
A5001298,NEWTON ABBOT DO,3442.100.,TQ12 4BT,UNIT 2 FORDE COURT,,NEWTON ABBOT,Admin
A5001594,CROYDON RTW,3447.100.,CR0 4XY,UNIT E PIONEERS INDUSTRIAL PARK,,CROYDON,Admin
A5001359,BRIDGEWATER DO,345.100.,TA6 3XX,FRIARN ST,,BRIDGWATER,Admin
A5001341,EXETER PAR,3456.1.,EX1 2AA,4 BELGRAVE ROAD,,EXETER,Admin
A5001337,EXETER DO,3456.100.,EX1 2AA,4 BELGRAVE ROAD,,EXETER,Admin
A5001360,BURNHAM ON SEA DO,346.100.,TA8 1ER,DUNSTAN ROAD,,BURNHAM ON SEA,Admin
A500157,GATESHEAD HUB,3465.100.,NE10 8YF,UNIT 15A FOLLINGSBY AVENUE,,GATESHEAD,Admin
A5001429,NEWPORT PAGNELL DO,3500.100.,MK16 9BF,"UNIT 12 PLOVER CLOSE,",,NEWPORT PAGNELL,Admin
A5001361,CREWKERNE DO,351.100.,TA18 7HE,BLACKNELL LANE,,CREWKERNE,Admin
A5001220,AMMANFORD DO,3513.100.,SA18 2LS,30-32 KINGS ROAD EAST,FOUNDRY ROAD,AMMANFORD,Admin
A5001575,BURY ST EDMUNDS DO,3515.100.,IP32 7YY,SKYLINER WAY,,BURY ST EDMUNDS,Admin
A5001601,EAST MIDLANDS AIR HUB,3520.100.,DE74 2SA,NOTTINGHAM EAST MIDLANDS AIRPORT,,DERBY,Admin
A5001364,TAUNTON DO,353.100.,TA1 1AA,CHIP LANE,,TAUNTON,Admin
A5001523,NORTHAMPTON RTW,3564.100.,NN3 9HZ,UNIT 4 FORTUNE CLOSE,,NORTHAMPTON,Admin
A5001195,GLASGOW LD,3583.100.,G32 8NB,,100 CAMBUSLANG ROAD,GLASGOW,Admin
A5001363,SOMERTON DO,359.100.,TA11 6SB,SOMERTON BUSINESS PARK,,SOMERTON,Admin
A5001325,ABERYSTWYTH DO,3597.100.,SY23 3GX,GLAN YR AFON IND ESTATE,,ABERYSTWYTH,Admin
A5001190,EDINBURGH EAST DO,3622.100.,EH7 6XD,,7-11 EAST TELFERTON IND ESTATE,EDINBURGH,Admin
A5001205,LONDON EAST RTW,3649.102.,RM20 3ED,OLIVER ROAD,,GRAYS,Admin
A500171,BRISTOL NORTH DO,366.100.,BS6 5DD,STATION ROAD,,BRISTOL,Admin
A500129,SOUTH MIDLANDS MC,3661.100.,NN4 9DR,SWAN VALLEY WAY,SWAN VALLEY,NORTHAMPTON,Admin
A5001415,LAURENCEKIRK DO,3662.100.,AB30 1AW,"UNIT 1 LAURENCEKIRK BUSINESS PARK,",,LAURENCEKIRK,Admin
A5001229,CHRISTCHURCH DO,3666.100.,BH23 2FB,UNITS 19-22 AVON TRADING PARK,,CHRISTCHURCH,Admin
A500140,BRISTOL MC,368.100.,BS34 7ST,GLOUCESTER ROAD NORTH,,BRISTOL,Admin
A500173,BRISTOL RTW,368.101.,BS34 7ST,GLOUCESTER ROAD NORTH,,BRISTOL,Admin
A500168,BRISTOL FISHPONDS DO,369.100.,BS16 3ZZ,UNIT 3 NEW STATION WAY,,BRISTOL,Admin
A5001530,COVENTRY CITY NORTH DO,3693.100.,CV6 5AB,1 THE STAMPINGS,,COVENTRY,Admin
A5001525,COVENTRY CITY NORTH RTW,3693.101.,CV6 5AB,1 THE STAMPINGS,,COVENTRY,Admin
A500120,PETERBOROUGH HUB,3697.100.,PE2 6YX,UNIT 5 HADDENBROOK BUS CTR,,PETERBOROUGH,Admin
A500167,BRISTOL EAST CENTRAL ST,371.100.,BS2 8AA,UNIT 13 AND 16 CITY BUSINESS PARK,,BRISTOL,Admin
A5001345,EXETER VOC,3712.1.,EX5 1EW,COMPOUND 44 GREENDALE BUS PK,,EXETER,Admin
A5001340,EXETER OFF,3712.100.,EX5 1EW,COMPOUND 44 GREENDALE BUS PK,,EXETER,Admin
A5001531,COVENTRY SOUTH DO,3718.100.,CV3 4RP,AIRPORT RETAIL PARK,,COVENTRY,Admin
A500166,BRISTOL CITY DO,372.100.,BS1 1AD,UNIT 19 CITY BUS PARK,EASTON ROAD,BRISTOL,Admin
A500141,SOUTH WEST PH,375.100.,BS35 4GG,WESTERN APPROACH DISTRIBUTION PARK,,BRISTOL,Admin
A5001199,ROMFORD DO,3762.100.,RM8 1RX,UNIT 3-9 FRESHWATER ROAD,,DAGENHAM,Admin
A500190,BARRY DO,378.100.,CF63 4ZZ,3-5 HOLTON ROAD,,BARRY,Admin
A5001613,STOKE LD,3787.100.,ST5 9QH,UNIT G DALEWOOD ROAD,,NEWCASTLE UNDER LYME,Admin
A500196,PENARTH DO,380.100.,CF64 1XL,39 ALBERT ROAD,,PENARTH,Admin
A5001154,GLASGOW SOUTH EAST DO,3802.100.,G32 8FA,14 FULLARTON DRIVE,,GLASGOW,Admin
A500187,CARDIFF WEST DO,381.100.,CF5 1AX,635 COWBRIDGE ROAD EAST,,CARDIFF,Admin
A5001207,GRAYS DO,3813.100.,RM17 5QB,HOGG LANE,,GRAYS,Admin
A5001380,NORTH WEST PROCESSING CTR,3838.100.,PR7 7DW,REVOLUTION PARK,,CHORLEY,Admin
A500184,CARDIFF MC,384.100.,CF11 8TA,220-228 PENARTH ROAD,,CARDIFF,Admin
A500188,CARDIFF RTW,384.101.,CF11 8TA,220-228 PENARTH ROAD,,CARDIFF,Admin
A500197,PONTYCLUN DO,385.100.,CF72 8UU,COWBRIDGE ROAD,,PONTYCLUN,Admin
A500198,PONTYCLUN GAR,385.101.,CF72 8UU,COWBRIDGE ROAD,,PONTYCLUN,Admin
A5001382,PRESTON LD,3866.100.,PR5 8AN,UNIT 261 CARNFIELD PLACE,,PRESTON,Admin
A5001624,CROYDON DO,3880.100.,CR0 3RL,36-40 FACTORY LANE,,CROYDON,Admin
A5001538,NEWCASTLE LD,3881.100.,DH2 1AE,UNIT 3 DRUM IND ESTATE,DURHAM ROAD,CHESTER LE STREET,Admin
A5001499,ROTHERHAM LD,3882.100.,S60 1DX,SHEFFIELD ROAD,,ROTHERHAM,Admin
A5001527,COVENTRY LD,3885.100.,CV6 4QE,UNIT DC7 WEST AVENUE,3 LOGIS PARK,COVENTRY,Admin
A500191,BRIDGEND CF DO,389.100.,CF31 1ZZ,TREMAINS ROAD,,BRIDGEND,Admin
A5001397,CORNWALL LD,3896.100.,PL31 2RQ,UNIT 11 CALLYWITH GATE IND EST,,BODMIN,Admin
A5001417,MILTON KEYNES LD,3905.100.,MK15 8HG,7 MICHIGAN DRIVE,,MILTON KEYNES,Admin
A5001338,EXETER LD,392.100.,EX2 8RL,13 TRUSHAM ROAD,,EXETER,Admin
A5001495,FUTURE WALK OFF,4.100.,S49 1PF,"1 FUTURE WALK, WEST BARS",,CHESTERFIELD,Admin
A5001496,FUTURE WALK RTW,4.101.,S40 1AA,WEST BARS,,CHESTERFIELD,Admin
A5001492,FUTURE WALK DO,4.102.,S40 1AA,WEST BARS,,CHESTERFIELD,Admin
A500153,LLANISHEN ST,4046.100.,CF14 5DX,TY GLAS AVENUE,,LLANISHEN,Admin
A5001392,PLYMOUTH LD,405.100.,PL6 7BQ,TAMERTON ROAD,,PLYMOUTH,Admin
A5001289,ABERGAVENNY DO,406.100.,NP7 5AZ,1 ST JOHNS SQUARE,,ABERGAVENNY,Admin
A5001291,BLACKWOOD DO,407.100.,NP12 1XA,160-164 HIGH STREET,,BLACKWOOD,Admin
A5001265,BANGOR RTW,4082.100.,LL57 4YH,LLANDYGAI INDUSTRIAL ESTATE,,BANGOR,Admin
A5001296,CHEPSTOW DO,409.100.,NP16 5XA,STATION ROAD,,CHEPSTOW,Admin
A5001107,INVERNESS MC,4092.100.,IV1 1SG,50 SEAFIELD ROAD,,INVERNESS,Admin
A5001297,CWMBRAN DO,410.100.,NP44 1BZ,GENERAL REES SQUARE,,CWMBRAN,Admin
A5001295,CALDICOT DO,414.100.,NP26 4YY,NEWPORT ROAD,,CALDICOT,Admin
A5001292,EBBW VALE DO,415.100.,NP23 6AD,HOLLAND STREET,,EBBW VALE,Admin
A5001294,TREDEGAR DO,416.100.,NP22 3XA,THE PROMENADE,,TREDEGAR,Admin
A5001347,LONDON AIR MAIL UNIT HUB,4196.100.,TW6 3PR,585 SHORT ROAD,,HOUNSLOW,Admin
A5001100,SWANSEA LD,4219.100.,SA7 0AQ,OLYMPUS A,MILL STREAM WAY,SWANSEA,Admin
